passenger_id,first_name,last_name,gender,dob,nationality,frequent_flyer_status,ff_points,typical_flight_freq_per_year
P0061600001,Heidi,Figueroa,O,1965-09-08,South Africa,None,0,2
P0061600002,Alicia,Carson,M,1958-10-03,Faroe Islands,Silver,11257,5
P0061600003,Heather,Yoder,F,1948-03-30,American Samoa,None,0,1
P0061600004,Laura,Shepherd,M,1993-06-23,Bahrain,None,0,1
P0061600005,Kelsey,Matthews,M,1997-07-22,Russian Federation,None,0,1
P0061600006,David,Guerra,F,1970-09-03,Guernsey,None,0,0
P0061600007,Sean,Mcfarland,O,1955-06-12,Cote d'Ivoire,None,0,1
P0061600008,Craig,Lee,M,1998-08-05,Trinidad and Tobago,Silver,14431,2
P0061600009,Melanie,Villarreal,M,1987-09-07,Oman,None,0,2
P0061600010,Rachel,Glover,F,1952-08-18,Myanmar,None,0,1
P0061600011,Roberto,Smith,F,1992-03-04,Bulgaria,Platinum,116553,40
P0061600012,Melissa,Morris,F,2006-08-25,French Southern Territories,None,0,1
P0061600013,Craig,Mathis,O,1993-12-02,Argentina,None,0,0
P0061600014,David,Douglas,O,1981-06-06,Moldova,None,0,2
P0061600015,Gloria,Snyder,M,1998-07-28,Niger,None,0,2
P0061600016,Steven,Martin,O,1966-11-17,United States Minor Outlying Islands,None,0,0
P0061600017,Deanna,Murphy,F,1969-04-22,Iceland,None,0,0
P0061600018,Robert,White,O,1997-06-14,Nicaragua,Silver,15152,5
P0061600019,Pamela,Rush,F,1975-07-11,Congo,None,0,1
P0061600020,Jay,Smith,O,1942-03-03,Paraguay,None,0,0
P0061600021,Keith,Mitchell,O,1960-02-14,Italy,None,0,0
P0061600022,Stacy,Ramirez,M,1955-07-13,Congo,None,0,0
P0061600023,Bridget,Estrada,F,1958-01-24,Peru,None,0,1
P0061600024,Austin,Jackson,F,1967-06-11,Ireland,None,0,0
P0061600025,William,Cox,M,1971-06-05,Liberia,None,0,1
P0061600026,Jenna,Smith,F,1970-02-08,France,None,0,0
P0061600027,Tiffany,Nielsen,O,1981-05-31,American Samoa,None,0,0
P0061600028,Anthony,Turner,O,1946-10-06,Montserrat,None,0,0
P0061600029,Michelle,Sims,O,1996-03-22,India,None,0,1
P0061600030,Gregory,Medina,O,1954-09-28,Cocos (Keeling) Islands,Silver,8019,3
P0061600031,Craig,Gates,F,1966-07-10,Iraq,None,0,1
P0061600032,Benjamin,Taylor,F,1982-12-14,Sweden,None,0,1
P0061600033,James,Carter,M,1994-07-27,Equatorial Guinea,Gold,31182,5
P0061600034,Kelly,White,M,1962-01-25,Austria,None,0,2
P0061600035,Luis,Steele,F,1947-05-24,Sudan,None,0,1
P0061600036,Brianna,Roberts,M,1989-04-03,Saint Helena,None,0,2
P0061600037,Lisa,Baker,M,1949-11-16,Brunei Darussalam,None,0,0
P0061600038,Jeremy,Rios,M,1972-02-18,Botswana,Silver,8073,5
P0061600039,Nathan,Deleon,M,1954-09-11,Falkland Islands (Malvinas),None,0,2
P0061600040,Kristy,Mcbride,M,1963-06-26,Antarctica (the territory South of 60 deg S),Silver,19366,2
P0061600041,Nicholas,Rose,F,1971-04-01,Montserrat,Platinum,111934,10
P0061600042,Robin,Herrera,F,1991-01-02,Croatia,Silver,10370,5
P0061600043,Randy,Thompson,M,1998-07-31,Eritrea,None,0,0
P0061600044,Jared,Cameron,M,1996-10-24,Turkmenistan,None,0,1
P0061600045,Michael,Davila,O,1974-10-07,Slovakia (Slovak Republic),None,0,0
P0061600046,Cristian,Price,M,1985-07-17,Tunisia,None,0,2
P0061600047,Matthew,Abbott,O,1997-07-04,Germany,None,0,1
P0061600048,Richard,Graham,F,1962-01-25,Uzbekistan,None,0,2
P0061600049,Joel,King,O,1953-08-28,Madagascar,None,0,0
P0061600050,Timothy,Martinez,M,1953-07-31,Bahrain,None,0,1
P0061600051,Diana,Perez,O,1991-09-27,Saint Lucia,None,0,1
P0061600052,Scott,Foster,F,2007-06-01,Antigua and Barbuda,None,0,0
P0061600053,Amber,Evans,F,1990-09-09,Venezuela,None,0,1
P0061600054,Amanda,Love,M,2004-12-06,Norway,None,0,2
P0061600055,Wendy,Edwards,O,1939-12-17,Madagascar,Platinum,68097,10
P0061600056,Angela,Hatfield,F,1941-10-18,United States of America,Silver,11524,2
P0061600057,Raymond,Hines,M,2004-10-07,Sudan,Silver,9182,5
P0061600058,Kenneth,Owens,M,1970-09-06,Saint Barthelemy,None,0,1
P0061600059,Carla,Williams,F,1988-03-14,Lao People's Democratic Republic,None,0,1
P0061600060,Travis,Mayer,O,1959-04-19,Jordan,None,0,1
P0061600061,Megan,Mckenzie,M,1998-06-19,Hong Kong,Gold,35728,5
P0061600062,Megan,Long,M,1952-05-14,Mexico,Silver,7836,5
P0061600063,Alvin,Woods,M,1970-01-04,Iraq,None,0,1
P0061600064,Zachary,Warren,F,1981-10-25,Faroe Islands,Silver,19018,3
P0061600065,Taylor,Ramos,M,1993-04-06,Cambodia,Gold,45680,10
P0061600066,Brian,Moss,F,1955-08-14,Cocos (Keeling) Islands,Silver,16457,4
P0061600067,Jennifer,Peters,O,1987-10-29,Ethiopia,None,0,1
P0061600068,David,Lane,M,1990-02-10,Somalia,None,0,1
P0061600069,Emily,Gardner,M,1968-06-09,Thailand,None,0,2
P0061600070,Scott,Donaldson,M,1967-08-31,Monaco,Silver,11722,5
P0061600071,Daniel,Gonzalez,F,1973-08-07,Saudi Arabia,None,0,1
P0061600072,Kathryn,Johnson,M,1978-07-16,Saint Martin,None,0,1
P0061600073,Samantha,Adams,O,1964-07-16,Kyrgyz Republic,None,0,0
P0061600074,Jennifer,Harrison,O,1961-09-13,Nepal,None,0,2
P0061600075,Cristina,Gonzalez,O,1998-07-15,Afghanistan,Gold,45966,10
P0061600076,Kyle,Blackburn,M,1987-04-15,Nauru,None,0,2
P0061600077,Ann,Schwartz,O,1990-09-30,Christmas Island,None,0,2
P0061600078,Bryan,Wade,O,2002-10-30,Seychelles,None,0,0
P0061600079,James,English,O,1992-12-06,Georgia,None,0,2
P0061600080,Kyle,Morales,M,1976-07-24,Bahrain,None,0,1
P0061600081,Ruben,Brown,F,1969-08-28,Somalia,None,0,2
P0061600082,Courtney,Bradley,F,1959-05-08,Singapore,None,0,1
P0061600083,Christine,Mcdaniel,O,1941-05-12,Singapore,None,0,2
P0061600084,Philip,Cook,M,1984-09-19,Mongolia,None,0,0
P0061600085,Jeffery,Rice,O,1963-07-16,Libyan Arab Jamahiriya,None,0,2
P0061600086,William,Huff,O,1994-09-17,Afghanistan,None,0,1
P0061600087,Jennifer,Sandoval,M,1946-08-27,Mali,Silver,8935,4
P0061600088,Billy,Salas,F,1979-11-14,Tanzania,None,0,2
P0061600089,Sandra,Carlson,O,1952-12-18,Slovenia,Silver,19156,4
P0061600090,Troy,Hernandez,M,1964-11-13,Saudi Arabia,None,0,0
P0061600091,Kristy,Heath,M,1968-06-30,Netherlands Antilles,None,0,1
P0061600092,John,Anderson,F,1986-04-22,Haiti,Gold,34557,15
P0061600093,John,Roberts,M,2003-06-09,Pitcairn Islands,None,0,1
P0061600094,Theresa,Davis,F,1993-12-30,Uruguay,Gold,58209,10
P0061600095,Kylie,Giles,M,1975-09-04,Tanzania,None,0,2
P0061600096,Brandon,Martin,M,1991-07-17,Comoros,Silver,14630,2
P0061600097,Ashley,Shaw,M,1974-05-26,Costa Rica,None,0,1
P0061600098,Bill,Moore,O,1985-06-10,Mozambique,None,0,1
P0061600099,Tonya,Fischer,M,1969-01-13,Tajikistan,None,0,1
P0061600100,Edwin,Aguilar,O,1999-07-30,Antigua and Barbuda,None,0,2
P0061600101,Adam,Edwards,O,1974-04-30,South Georgia and the South Sandwich Islands,None,0,1
P0061600102,Mark,Taylor,F,1962-06-26,Korea,Gold,26490,10
P0061600103,Tonya,Booth,O,1944-11-09,Belarus,Silver,19442,2
P0061600104,Kyle,King,M,1959-06-15,Seychelles,Silver,19813,2
P0061600105,Joseph,Lowe,O,1981-02-20,Azerbaijan,None,0,0
P0061600106,Samuel,Macdonald,F,1984-11-26,Namibia,None,0,1
P0061600107,Ryan,Bennett,F,1948-10-30,Senegal,None,0,0
P0061600108,Ethan,Wagner,M,1953-10-13,Moldova,None,0,0
P0061600109,Jeffrey,Green,F,1993-12-20,Iceland,Silver,7996,4
P0061600110,Edward,Gutierrez,O,1995-01-22,Djibouti,Silver,15090,3
P0061600111,Elizabeth,Jordan,O,1992-11-04,Botswana,None,0,2
P0061600112,Amy,James,O,1965-04-18,Honduras,None,0,1
P0061600113,Timothy,Owens,M,1968-08-27,Bangladesh,None,0,1
P0061600114,Steven,Sosa,F,1972-07-31,Azerbaijan,None,0,0
P0061600115,Donald,Haynes,M,1967-06-21,Sri Lanka,None,0,1
P0061600116,Troy,Decker,M,1997-05-28,British Indian Ocean Territory (Chagos Archipelago),None,0,0
P0061600117,Mark,Payne,O,1975-07-10,Turkmenistan,Gold,25158,15
P0061600118,Lisa,West,O,1957-07-05,Peru,None,0,1
P0061600119,Thomas,Lewis,F,1983-10-20,Djibouti,None,0,0
P0061600120,Jonathan,Conrad,M,1991-12-16,Kuwait,Gold,42407,5
P0061600121,Cole,Long,O,1982-09-03,Cocos (Keeling) Islands,None,0,1
P0061600122,Austin,Bryant,M,1993-07-23,United Arab Emirates,None,0,0
P0061600123,Patrick,Fisher,M,1950-08-31,Jersey,None,0,2
P0061600124,Karen,Russo,F,1979-05-31,Italy,None,0,0
P0061600125,Kimberly,Hines,O,1954-11-06,Cook Islands,None,0,0
P0061600126,Katrina,Fowler,O,1975-08-11,Tajikistan,None,0,1
P0061600127,Chad,Allen,M,1947-10-04,Botswana,None,0,2
P0061600128,Amanda,Campbell,F,1960-05-13,Mexico,None,0,0
P0061600129,Gary,Torres,O,1986-04-17,Tuvalu,None,0,1
P0061600130,Angela,Murray,M,1942-07-31,France,None,0,1
P0061600131,Henry,Benjamin,M,1946-02-15,Jersey,Gold,35558,15
P0061600132,Lindsay,Cooper,F,1975-03-26,Georgia,None,0,1
P0061600133,Debbie,Christensen,F,1941-05-13,Serbia,Silver,14241,5
P0061600134,Grant,Harris,O,1961-04-27,Albania,Gold,29558,10
P0061600135,Lauren,Anderson,O,1977-10-23,Solomon Islands,None,0,0
P0061600136,Raymond,Johnson,F,1959-11-20,Indonesia,Platinum,144217,10
P0061600137,Rachel,Crawford,F,1971-04-14,Isle of Man,None,0,1
P0061600138,Amber,Lewis,M,2004-09-02,Korea,None,0,1
P0061600139,Nathan,Young,F,1984-09-20,New Zealand,Silver,7626,2
P0061600140,Christina,Carpenter,O,2005-09-27,Mayotte,None,0,1
P0061600141,Lonnie,Brady,F,1984-06-14,Saint Pierre and Miquelon,None,0,1
P0061600142,Andre,Williams,O,1961-04-27,Kyrgyz Republic,None,0,0
P0061600143,Mary,Harmon,F,1963-10-06,Gambia,Platinum,199607,40
P0061600144,Karen,Alexander,M,1962-02-20,India,None,0,1
P0061600145,Jose,Green,F,1967-12-20,Myanmar,None,0,2
P0061600146,Erika,York,F,1981-01-01,Afghanistan,None,0,1
P0061600147,Heather,Jackson,F,1949-12-02,Ecuador,Silver,19281,4
P0061600148,Kristen,Payne,M,1970-07-30,Ghana,Silver,19599,2
P0061600149,David,Martin,M,1967-08-10,Paraguay,None,0,2
P0061600150,Brittany,Estrada,M,2000-07-26,Guernsey,None,0,1
P0061600151,Shelby,Hale,M,1987-07-16,Georgia,None,0,2
P0061600152,John,Holland,O,1968-03-25,Timor-Leste,Silver,8077,2
P0061600153,Colin,Chandler,M,1952-07-10,Seychelles,None,0,1
P0061600154,Angela,Carlson,M,1995-05-30,Dominica,None,0,1
P0061600155,Maria,Mcdonald,O,1945-02-06,Jersey,None,0,1
P0061600156,Christopher,Goodwin,O,2005-09-23,Netherlands,None,0,1
P0061600157,David,Jones,O,1988-03-22,Falkland Islands (Malvinas),None,0,0
P0061600158,Justin,Johnson,F,1974-07-19,Afghanistan,None,0,0
P0061600159,Johnathan,Howard,O,1945-05-07,Slovakia (Slovak Republic),Gold,43001,10
P0061600160,Carol,Washington,F,1991-06-25,Trinidad and Tobago,None,0,1
P0061600161,Jose,Hughes,M,1965-07-24,New Caledonia,None,0,1
P0061600162,Edward,Johnson,M,1963-12-20,British Virgin Islands,None,0,1
P0061600163,William,Maldonado,M,1960-04-26,Seychelles,None,0,2
P0061600164,Bryan,Fuentes,M,1988-08-05,Central African Republic,Gold,47430,15
P0061600165,David,Olson,F,1996-07-27,Yemen,None,0,1
P0061600166,Walter,Perez,O,1996-07-12,Angola,None,0,1
P0061600167,Dawn,Smith,M,1989-12-04,Puerto Rico,Silver,10194,5
P0061600168,Ryan,Thomas,F,1979-04-18,Ghana,None,0,0
P0061600169,Lisa,Richards,M,1972-02-12,Spain,None,0,1
P0061600170,Tyler,Gomez,M,1957-07-10,Guatemala,None,0,2
P0061600171,Elizabeth,Saunders,O,1978-03-17,Turkey,None,0,1
P0061600172,Cody,Smith,O,1949-08-14,Malaysia,Silver,7112,2
P0061600173,April,Miller,F,2001-05-24,Austria,None,0,2
P0061600174,John,Warren,M,1959-07-14,Saint Helena,None,0,2
P0061600175,Jessica,Edwards,M,1988-05-27,Korea,Silver,18856,3
P0061600176,Brittany,Daniels,O,1978-04-20,Cook Islands,None,0,1
P0061600177,Erika,Castaneda,M,1985-08-16,Falkland Islands (Malvinas),None,0,2
P0061600178,James,Park,M,1977-04-15,Solomon Islands,Gold,29315,10
P0061600179,Kevin,Holland,F,1952-02-05,Palau,None,0,0
P0061600180,Charles,Robertson,O,1973-04-03,Sierra Leone,None,0,1
P0061600181,Anna,Gomez,F,2005-10-04,Guinea,Silver,15427,2
P0061600182,Steven,Park,F,2003-04-14,Nepal,None,0,1
P0061600183,Alice,Jenkins,F,1965-04-03,Algeria,None,0,1
P0061600184,Teresa,Smith,F,1958-05-28,Congo,None,0,2
P0061600185,Ryan,Burgess,O,1948-10-01,Saint Kitts and Nevis,None,0,0
P0061600186,Jennifer,Hatfield,O,1970-02-05,Egypt,None,0,0
P0061600187,Steven,Brown,M,1976-01-03,Mayotte,None,0,1
P0061600188,Jennifer,Salas,M,1996-03-20,Guinea-Bissau,None,0,1
P0061600189,Tonya,Jenkins,M,2001-11-11,Bahamas,None,0,1
P0061600190,James,Patel,M,1951-02-10,Nicaragua,None,0,2
P0061600191,Emily,Cameron,F,1964-05-31,Sao Tome and Principe,None,0,2
